Name,Email,Role,App access,Groups,Date added
Reese Foster,willow.osei@ext-138750.com,User,Designer,members Bootcamp_EMEA_February_2026,2025-09-26T09:04:37.494Z
Indira Evans,noel.knox@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:40:01.473Z
Tatum Flynn,xander.osei@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:53:13.710Z
Ellis Nash,lane.singh@ext-9c4f44.com,User,Designer AutoSync,members AgentCreatorTraining Cognizant,2025-04-07T08:24:35.939Z
Fern Nguyen,gray.xia@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:38:26.614Z
Oakley Vance,lee.jensen@ext-9bcd09.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025 AgentCreatorBootcamp_EMEA_May_2025 AgentCreatorBootcamp_EMEA_June_2025,2025-05-12T15:00:50.349Z
Gray Park,brett.osei@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:42:36.675Z
Lee Jensen,vesper.luna@ext-a37969.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:53:28.336Z
Oakley Johal,blake.zhu@ext-84f9b1.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:09:07.945Z
Jordan Foster,dana.shah@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-20T05:20:02.897Z
Alex Zhang,noel.wang@ext-84f9b1.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:09:19.654Z
Gray Iyer,xander.brooks@ext-36a867.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-01-27T10:35:18.484Z
Kai Chen,xander.zhu@ext-f81e0a.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-15T18:20:23.184Z
Blake Chen,drew.kim@snaplogic.com,User,Designer,members,2026-01-31T17:22:06.841Z
Wren Zhu,lane.moss@ext-877d92.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 Infosys,2025-10-06T16:16:07.751Z
Xen Luna,quinn.lopez@ext-73c6f0.com,User,Designer AutoSync,members AgentCreatorPartnerTraining,2024-08-26T06:21:49.683Z
Piper York,alex.vance@ext-3361f8.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:38:32.167Z
Zion Diaz,yuki.davis@snaplogic.com,User,Designer,members,2026-01-31T17:21:18.843Z
Wren Foster,kai.reid@snaplogic.com,User,Designer,members,2024-04-04T10:01:54.472Z
Piper Zhang,kai.quinn@ext-fc167d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:42:22.735Z
Casey Wells,zara.yamada@ext-591bfe.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T08:54:33.710Z
Charlie Miller,devon.tran@ext-7bf6fa.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:33:24.054Z
Harper Reyes,hayden.harris@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:14:49.906Z
Drew Park,noel.cooper@ext-c8d2ab.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:57:26.584Z
River Iyer,reese.lopez@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:52:27.897Z
Charlie Reyes,parker.davis@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-03-20T16:44:52.964Z
Piper Reid,lane.ibarra@snaplogic.com,User,Designer,members US_Bootcamp_August_2025,2024-12-20T07:37:54.729Z
Ellis Zhu,ellis.adams@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2024-05-22T13:08:13.019Z
Morgan Adams,alex.nguyen@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-02-02T10:41:26.271Z
Taylor Singh,zion.utley@ext-7abd01.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025 AgentCreatorBootcamp_EMEA_May_2026,2025-06-15T21:17:24.639Z
Devon Holt,vesper.shah@ext-30d03e.com,User,Designer AutoSync,members AgentCreatorPartnerTraining,2025-01-28T09:51:32.437Z
Umber Ellis,oakley.nash@ext-fc167d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:42:48.031Z
Lane Flynn,eden.nash@ext-0ffece.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2025-10-13T09:06:56.546Z
Uli Utley,umber.iyer@ext-08f459.com,User,,members,2024-01-11T10:23:36.866Z
Skyler Jensen,xander.jensen@snaplogic.com,User,Designer,members,2026-01-31T17:22:16.921Z
Vale Knox,finley.baker@ext-9aa82d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:42:36.016Z
Jamie Ortiz,parker.chen@ext-669f45.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2024-11-01T15:38:36.642Z
Gray Xu,devon.luna@ext-298aa5.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:06:11.387Z
Taylor Miller,harper.garcia@ext-30d03e.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:21:35.247Z
Sage Adams,alex.wang@ext-f831a9.com,User,Designer,members VeoliaAiWorkshop,2025-12-16T17:57:25.187Z
Umber Zhu,hayden.flynn@ext-a9d419.com,User,Designer,members Harmony,2024-06-13T09:06:08.338Z
Xander Baker,uli.moss@ext-a876a8.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:43:01.648Z
Dana Tran,umber.moss@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025 AgentCreatorBootcamp_EMEA_June_2025,2025-05-12T15:00:49.636Z
Oakley Lopez,drew.lopez@ext-de7e3d.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:36.008Z
Taylor Kim,avery.evans@ext-2c0c28.com,User,Designer,members siemens_mobility AgentCreatorSHSTraining,2024-12-06T11:16:57.696Z
Xander Iyer,blake.osei@ext-1e8633.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:17:04.348Z
Tatum Vega,alex.harris@ext-9c4f44.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025 Cognizant,2025-06-15T21:17:39.709Z
Oakley Park,kelly.vega@ext-5ad5df.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:13:52.435Z
Jamie Evans,zion.nash@ext-9a0743.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:46.311Z
Vesper Vega,oakley.park@ext-84f9b1.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:54:25.348Z
Quinn Harris,alex.zhu@ext-e16054.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:51:46.980Z
Vesper Zhang,jordan.reyes@snaplogic.com,User,Designer,members,2026-01-31T17:22:22.512Z
Oakley Miller,umber.xu@ext-7e0fff.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:23:32.958Z
Jordan Quinn,harper.osei@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025,2025-10-06T16:09:38.772Z
Uli Brooks,umber.jensen@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-12-05T18:09:13.881Z
Kelly Ueda,jordan.reyes@ext-591bfe.com,Environment admin,Designer,members admins,2025-05-15T15:55:55.593Z
Charlie Ibarra,charlie.evans@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:13:13.920Z
Tatum Ueda,lane.zhu@ext-7bf6fa.com,User,Designer AutoSync,members AgentCreatorSHSTraining,2025-04-28T10:45:01.106Z
Eden Foster,harper.xia@snaplogic.com,Environment admin,Designer,members admins,2025-07-16T14:42:07.439Z
Avery Reid,finley.iyer@snaplogic.com,User,Designer AutoSync,members,2024-10-16T15:05:33.235Z
Xen Adams,alex.lopez@snaplogic.com,Environment admin,Designer,members admins,2023-05-04T22:24:27.414Z
Casey York,noel.cooper@ext-387eea.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:15.983Z
Xen Tran,finley.park@ext-a8f028.com,User,Designer,members,2026-03-27T16:53:19.911Z
Willow Xu,skyler.ibarra@ext-1dfcd7.com,User,Designer AutoSync,members IWC AgentCreatorPartnerTraining AgentCreatorTraining AgentCreatorBootcamp_EMEA_May_2025 IWConnectDemos AgentCreatorBootcamp_EMEA_June_2025 AgentCreatorBootcamp_AMEA_August_2025 AgentCreatorBootcamp_EMEA_October_2025,2025-01-28T09:50:14.929Z
Vale Vega,willow.nash@snaplogic.com,Environment admin,Designer,members admins,2023-09-22T17:52:32.621Z
Vale Ueda,quinn.lopez@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:57:13.137Z
Gray Garcia,devon.vance@ext-5e8879.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:22:28.770Z
River Flynn,mack.osei@ext-26da4f.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025 Infosys,2025-05-18T20:54:36.736Z
Yael Miller,kai.jensen@ext-73c6f0.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:50.927Z
Zion Nash,gray.xu@snaplogic.com,User,Designer,members,2026-01-31T17:22:27.880Z
Tatum Xia,zara.vance@ext-08f459.com,User,,members,2024-01-11T10:24:06.127Z
Charlie Tran,avery.iyer@ext-ef0c92.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:43:16.197Z
Tatum Xu,lee.zhu@snaplogic.com,Environment admin,Designer AutoSync,members admins,2026-07-08T21:02:41.163Z
Lane Torres,vale.cooper@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-20T05:20:18.514Z
Lee Nguyen,xen.xu@ext-387eea.com,User,Designer,members,2025-08-07T08:03:42.107Z
Vesper Foster,jordan.patel@ext-9bcd09.com,User,AutoSync Designer,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:54:48.481Z
Morgan Zhu,nash.lopez@ext-445152.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-02-03T16:41:58.872Z
Morgan Vance,taylor.ueda@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:44:04.007Z
Taylor Zhang,gray.baker@ext-9c4f44.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025 Cognizant,2025-06-30T15:55:05.350Z
Dana Miller,avery.xu@ext-d0173b.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:18:24.872Z
Avery Ellis,wren.garcia@ext-33cee5.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:31:15.656Z
Nash Davis,nash.vega@ext-a876a8.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:59.979Z
Skyler Diaz,oakley.ibarra@snaplogic.com,User,Designer,members,2026-01-31T17:22:38.986Z
Lane Johal,xander.chen@ext-6e4f12.com,User,Designer,members Bootcamp_EMEA_February_2026,2025-01-09T11:54:58.759Z
Lee Wang,vale.brooks@ext-387eea.com,User,Designer AutoSync,members AgentCreatorTraining,2025-04-07T08:21:52.077Z
River Nguyen,dana.york@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:39:49.678Z
Yuki Ueda,quinn.vance@ext-0a199e.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:43:31.179Z
Indira Jensen,fern.diaz@ext-1d67bb.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:05.026Z
Willow Reyes,mack.park@ext-387eea.com,User,Designer AutoSync,members AgentCreatorTraining,2024-11-22T04:53:56.361Z
Sage Reid,kelly.ortiz@ext-9b4172.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:28:10.802Z
Drew Utley,jordan.reyes@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-10-17T07:16:30.796Z
Sage Miller,tatum.ellis@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:29:10.209Z
Willow Chen,brett.evans@ext-7c8183.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:02.073Z
Indira Utley,xander.knox@ext-84f9b1.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:10:03.904Z
Tatum Reyes,sage.kim@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025 Sriven,2025-10-06T16:13:26.320Z
Parker Utley,kelly.kim@ext-591bfe.com,User,Designer,members US_Bootcamp_August_2025,2025-08-11T15:57:57.336Z
Drew Patel,harper.nash@snaplogic.com,User,Designer,members,2026-04-08T12:00:35.993Z
Jordan Singh,brett.chen@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-09-25T05:44:38.507Z
Yael Luna,kai.ibarra@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:39:45.683Z
Brett Miller,reese.ortiz@snaplogic.com,User,Designer,members,2026-01-31T17:23:26.871Z
Oakley York,quinn.davis@ext-9c4f44.com,User,Designer AutoSync,members AgentCreatorTraining Cognizant,2025-04-07T08:25:39.844Z
Vesper Xia,blake.chen@ext-42c575.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:32:19.246Z
Nash Torres,oakley.lopez@ext-7e0fff.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:43:41.022Z
Noel Harris,vale.evans@ext-a8f028.com,User,Designer,members,2026-03-27T16:52:09.814Z
Eden Yamada,river.york@ext-524d8d.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:14:32.442Z
Umber Chen,xen.reyes@ext-9f4eff.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-20T13:12:05.431Z
Fern Singh,finley.reid@ext-f831a9.com,User,Designer,members VeoliaAiWorkshop,2025-12-16T17:57:35.374Z
Oakley Knox,ellis.ibarra@ext-ef0019.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:19:25.304Z
Lee Luna,harper.moss@ext-a6c512.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2024-08-21T10:15:34.775Z
Willow Ortiz,kelly.cooper@ext-3c8938.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:58:29.926Z
Xander Moss,brett.osei@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-10-07T21:29:24.396Z
Noel Evans,drew.zhang@ext-b4b17f.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:22:35.563Z
Kai Nguyen,morgan.zhang@ext-f831a9.com,User,Designer,members VeoliaAiWorkshop,2025-12-16T17:57:40.592Z
Vale Baker,kai.reid@ext-ce8725.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:56:55.033Z
Reese Nguyen,tatum.park@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-02-29T20:44:32.864Z
Dana Moss,yuki.zhu@ext-1dfcd7.com,User,Designer AutoSync,members IWC IWConnectDemos,2025-03-25T12:12:09.804Z
Yuki Kim,yael.park@ext-f060bf.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:25:23.359Z
Mack Osei,parker.miller@ext-7abd01.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:18:14.231Z
Noel Grant,ellis.diaz@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-12T10:46:38.226Z
Jordan Adams,oakley.xu@snaplogic.com,User,Designer,members,2026-01-31T17:23:32.872Z
Yael Patel,avery.tran@snaplogic.com,User,Designer,members,2026-01-31T17:23:39.653Z
Mack Osei,lane.grant@ext-84f9b1.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025,2025-05-15T15:53:40.457Z
Eden Xu,river.yamada@ext-40fcab.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:10:01.415Z
Finley Ortiz,oakley.iyer@ext-8bf904.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:47:36.986Z
Brett Wang,wren.york@ext-8de689.com,User,Designer,members PartnersReadOnly,2024-01-10T09:10:04.830Z
Oakley Wang,devon.foster@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025 Infosys,2025-11-23T18:46:18.606Z
Jamie Xu,indira.park@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:21.883Z
Eden Vance,river.shah@snaplogic.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-16T09:52:16.014Z
Eden Johal,yael.reid@snaplogic.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T09:53:06.615Z
Uli York,hayden.nash@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:41:42.843Z
Wren Holt,tatum.diaz@snaplogic.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T10:22:27.830Z
Mack Zhang,xen.diaz@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:41:48.506Z
Gray Vance,ellis.flynn@snaplogic.com,User,Designer,members,2026-03-03T00:31:58.237Z
Taylor Brooks,uli.zhu@snaplogic.com,Environment admin,,members admins,2026-03-03T13:04:18.074Z
Lane Zhang,parker.garcia@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:06.246Z
Kai Wang,fern.vance@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-12T09:54:08.431Z
Harper Cooper,willow.park@snaplogic.com,User,Designer,members,2026-02-23T09:56:28.496Z
Lane Harris,drew.davis@snaplogic.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T10:22:35.012Z
Piper Moss,kai.ibarra@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:33.820Z
Gray Vega,kai.adams@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:03.253Z
Willow Grant,kelly.reyes@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:13.427Z
Noel Ueda,piper.vega@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:41:55.990Z
Devon Foster,river.jensen@snaplogic.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T10:22:42.969Z
Lee Harris,zara.flynn@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:41:58.782Z
Jordan Foster,morgan.singh@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:27.697Z
Brett Wang,xen.johal@snaplogic.com,Environment admin,Designer,members admins AgentCreatorBootcamp_EMEA_January_2026,2023-08-29T15:34:27.928Z
Mack Ibarra,xander.zhang@ext-6d35fd.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:27:47.387Z
Hayden Nash,nash.wells@ext-8e55ec.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-11T10:48:31.793Z
Reese Davis,fern.diaz@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:42:38.316Z
Jordan Wells,oakley.nash@ext-dca959.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:16:32.673Z
Yuki Xia,hayden.grant@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:51:32.039Z
Alex Cooper,uli.osei@ext-73c6f0.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:51.471Z
Hayden Utley,river.zhang@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:43:56.191Z
Vale Flynn,jamie.torres@snaplogic.com,User,Designer AutoSync,members,2024-10-21T15:39:40.177Z
Tatum Brooks,eden.torres@snaplogic.com,Environment admin,Designer,members admins,2023-12-19T15:57:41.046Z
Alex Singh,fern.moss@ext-f831a9.com,User,Designer,members VeoliaAiWorkshop,2025-12-16T17:57:46.896Z
Uli Yamada,kai.foster@ext-591bfe.com,User,Designer,members,2025-11-23T14:34:01.177Z
Vale Iyer,devon.nash@ext-591bfe.com,User,Designer,members,2025-11-23T14:40:27.883Z
Charlie Miller,willow.luna@ext-9c4f44.com,User,Designer AutoSync,members AgentCreatorTraining Cognizant,2025-04-07T08:25:59.085Z
Drew Yamada,xen.foster@snaplogic.com,User,Designer,members,2026-01-31T17:23:45.916Z
River Ellis,devon.wells@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025 AgentCreatorBootcamp_EMEA_May_2025,2025-05-12T15:00:49.041Z
Vale Garcia,morgan.baker@ext-9aa82d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:44:09.127Z
Mack Brooks,harper.patel@ext-ada31f.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:09:16.022Z
Avery Baker,reese.holt@ext-7f91a9.com,User,Designer,members US_Bootcamp_August_2025,2025-08-11T16:21:33.120Z
Taylor Baker,quinn.xu@snaplogic.com,User,,members_devportal,2024-02-02T10:44:46.172Z
River Holt,xander.diaz@snaplogic.com,User,,members,2024-05-16T09:47:17.881Z
Alex Cooper,umber.diaz@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-10-13T16:17:10.120Z
Charlie Shah,lane.ueda@snaplogic.com,Environment admin,AutoSync Designer,members admins,2025-11-03T11:12:55.305Z
Avery Adams,hayden.nguyen@snaplogic.com,User,Designer,members,2026-01-31T17:23:55.312Z
Piper Davis,devon.kim@ext-ef0c92.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:44:35.029Z
Charlie Baker,oakley.ibarra@snaplogic.com,Environment admin,Designer AutoSync,members admins Bootcamp_US_June_2025 US_Bootcamp_August_2025,2024-12-02T18:28:52.415Z
Skyler Flynn,harper.diaz@ext-08f459.com,User,,members,2024-01-11T10:25:50.292Z
Nash Harris,jordan.xia@ext-a37969.com,User,AutoSync Designer,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:56:47.130Z
Devon Holt,yuki.moss@ext-0a199e.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:44:19.515Z
Noel Singh,yael.utley@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:43:16.092Z
Kai Reid,eden.wang@ext-0ffece.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:04:39.732Z
Dana Lopez,yael.wells@snaplogic.com,User,Designer,members,2026-01-31T17:25:04.520Z
Jamie Moss,xander.cooper@snaplogic.com,User,Designer,members,2026-01-31T17:25:07.085Z
Kai Xia,finley.brooks@ext-efaeaa.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025 Bootcamp_US_June_2025,2025-06-15T21:28:02.588Z
Reese Jensen,harper.jensen@ext-a9d419.com,User,Designer,members Harmony,2024-06-13T09:06:34.079Z
Sage Utley,skyler.grant@ext-82dea4.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2025-07-16T13:25:12.996Z
Xander Yamada,uli.xu@ext-ac6a70.com,User,Designer,members,2024-04-10T08:29:07.151Z
Skyler Lopez,yuki.flynn@ext-afaadc.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:19:47.340Z
Wren Park,willow.xu@snaplogic.com,User,Designer,members,2026-01-31T17:25:11.260Z
Morgan Diaz,lee.vance@ext-d143fb.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:47:06.741Z
Morgan Ueda,charlie.nguyen@ext-2d8726.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:58:15.149Z
Nash Zhang,brett.ueda@ext-1dfcd7.com,User,Designer AutoSync,members IWC AgentCreatorPartnerTraining AgentCreatorBootcamp_EMEA_May_2025 IWConnectDemos,2025-01-28T09:51:08.212Z
Devon Garcia,ellis.moss@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-07-30T10:04:51.723Z
Hayden Vega,jordan.utley@ext-8bfe2a.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025,2025-10-06T16:16:42.823Z
Kai Evans,reese.cooper@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-12-10T20:07:37.736Z
Ellis Kim,blake.york@ext-6e4f12.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2024-10-01T16:23:51.065Z
Fern Miller,piper.ibarra@ext-138750.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:11:02.315Z
Tatum Jensen,indira.singh@snaplogic.com,Environment admin,Designer,members admins,2024-04-09T08:15:51.626Z
Oakley Nguyen,devon.wells@snaplogic.com,Environment admin,Designer,members admins,2024-04-19T17:19:34.386Z
Quinn Brooks,taylor.osei@ext-591bfe.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:09:54.696Z
River Knox,uli.torres@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-01-17T18:19:20.102Z
Lane Davis,umber.davis@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:17.642Z
Jordan Zhang,kai.zhang@ext-d8144d.com,User,Designer,members Bootcamp_EMEA_February_2026 AgentCreatorBootcamp_EMEA_March_2026 AgentCreatorBootcamp_EMEA_May_2026,2026-02-22T12:13:05.961Z
Indira Diaz,ellis.park@ext-26da4f.com,User,Designer,members US_Bootcamp_August_2025 AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025 Infosys AgentCreatorBootcamp_EMEA_January_2026 Bootcamp_EMEA_February_2026,2025-08-07T14:25:23.384Z
Piper York,kai.cooper@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:51:01.066Z
Tatum Miller,jamie.york@snaplogic.com,User,Designer,members,2026-01-31T17:25:18.430Z
Devon Park,eden.reyes@ext-0f3815.com,User,Designer,members Bootcamp_EMEA_February_2026,2024-04-09T08:20:34.040Z
Lee Reyes,charlie.nguyen@snaplogic.com,User,Designer,members,2026-01-31T17:26:02.745Z
Zion Lopez,eden.wang@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-19T12:42:25.023Z
Piper Park,hayden.miller@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:49:01.283Z
Dana Ellis,oakley.moss@ext-8bf904.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:51.326Z
Wren Flynn,oakley.knox@ext-9a0743.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:43.840Z
Zara Nash,noel.knox@ext-2e4928.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:05:34.479Z
